,"China National Emissions Trading System",,,," ","European Union Emissions Trading System (until 2018)",,,," ","Korean Emissions Trading System",,,,," ","New Zealand Emissions Trading System (Up to 2023)",,,,,,,," ","New Zealand Emissions Trading System (From 2024)",,,,,,,," "
Date,"Exchange rate CNY/EUR","Exchange rate CNY/USD","Market Currency","Secondary Market"," ","Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market"," ","Exchange rate KRW/EUR","Exchange rate KRW/USD","Market Currency","Primary Market","Secondary Market"," ","Exchange rate NZD/EUR","Exchange rate NZD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Secondary Market","Secondary Stability 5"," ","Exchange rate NZD/EUR","Exchange rate NZD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Secondary Market"," "
2021-07-16,0.130645785,0.154447072,CNY,51.23," ",,,,," ",0.00073943,0.000874141,KRW,,20100," ",0.590707801,0.698324022,NZD,,,,47.8,," ",,,,,,,,," "
2021-07-19,0.130645785,0.154447072,CNY,52.3," ",,,,," ",0.00073943,0.000874141,KRW,,20100," ",0.590707801,0.698324022,NZD,,,,47.9,," ",,,,,,,,," "
2021-07-20,0.130645785,0.154447072,CNY,53.28," ",,,,," ",0.00073943,0.000874141,KRW,,20100," ",0.590707801,0.698324022,NZD,,,,47.82,," ",,,,,,,,," "
2021-07-21,0.130645785,0.154447072,CNY,54.4," ",,,,," ",0.00073943,0.000874141,KRW,,20100," ",0.590707801,0.698324022,NZD,,,,47.97,," ",,,,,,,,," "
2021-07-22,0.130645785,0.154447072,CNY,55.52," ",,,,," ",0.00073943,0.000874141,KRW,,20100," ",0.590707801,0.698324022,NZD,,,,48.1,," ",,,,,,,,," "
2021-07-23,0.130645785,0.154447072,CNY,56.97," ",,,,," ",0.00073943,0.000874141,KRW,,20100," ",0.590707801,0.698324022,NZD,,,,48.12,," ",,,,,,,,," "
2021-07-26,0.130645785,0.154447072,CNY,54.46," ",,,,," ",0.00073943,0.000874141,KRW,,20100," ",0.590707801,0.698324022,NZD,,,,48.05,," ",,,,,,,,," "
2021-07-27,0.130645785,0.154447072,CNY,54.63," ",,,,," ",0.00073943,0.000874141,KRW,,20100," ",0.590707801,0.698324022,NZD,,,,48.5,," ",,,,,,,,," "
2021-07-28,0.130645785,0.154447072,CNY,52.5," ",,,,," ",0.00073943,0.000874141,KRW,,20500," ",0.590707801,0.698324022,NZD,,,,48.6,," ",,,,,,,,," "
2021-07-29,0.130645785,0.154447072,CNY,52.96," ",,,,," ",0.00073943,0.000874141,KRW,,20700," ",0.590707801,0.698324022,NZD,,,,48.6,," ",,,,,,,,," "
