"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2026","79.59","79.04","79.92","78.89","0.82K","0.59%"
"05/28/2026","79.12","77.49","79.30","77.49","0.71K","1.84%"
"05/27/2026","77.69","77.84","78.68","77.56","1.47K","0.87%"
"05/26/2026","77.02","75.69","77.50","75.69","0.15K","1.68%"
"05/25/2026","75.75","76.00","76.10","75.60","0.12K","-0.20%"
"05/22/2026","75.90","74.20","76.02","74.16","0.14K","2.68%"
"05/21/2026","73.92","74.54","74.59","73.90","0.15K","-0.61%"
"05/20/2026","74.37","74.00","74.76","73.86","0.65K","0.57%"
"05/19/2026","73.95","74.53","74.66","73.59","0.15K","-0.78%"
"05/18/2026","74.53","74.55","75.67","74.54","0.22K","-0.07%"
"05/15/2026","74.58","73.77","74.80","73.77","0.12K","0.69%"
"05/14/2026","74.07","74.26","74.26","73.74","0.17K","0.03%"
"05/13/2026","74.05","73.41","74.07","73.40","0.42K","-0.96%"
"05/12/2026","74.77","75.79","75.97","74.72","1.00K","-1.81%"
"05/11/2026","76.15","73.91","76.32","73.91","0.70K","2.70%"
"05/08/2026","74.15","73.98","74.73","73.96","1.39K","0.05%"
"05/07/2026","74.11","74.10","74.54","74.10","0.69K","-1.21%"
"05/06/2026","75.02","74.71","75.40","74.71","0.61K","0.48%"
"05/05/2026","74.66","72.14","74.72","71.77","1.07K","3.67%"
"05/04/2026","72.02","73.31","73.31","71.86","0.04K","-1.23%"
"05/01/2026","72.92","72.57","74.04","72.57","0.05K","0.19%"
"04/30/2026","72.78","71.78","72.59","71.54","0.01K","0.82%"
"04/29/2026","72.19","74.37","74.37","72.01","0.16K","-2.58%"
"04/28/2026","74.10","73.80","74.63","73.80","0.55K","0.47%"
"04/27/2026","73.75","73.59","74.39","73.51","0.43K","-0.23%"
"04/24/2026","73.92","73.82","74.50","73.68","0.33K","0.09%"
"04/23/2026","73.85","73.26","73.99","73.26","1.56K","0.59%"
"04/22/2026","73.42","74.76","74.76","73.31","0.32K","-1.73%"
"04/21/2026","74.71","74.80","75.03","73.81","1.40K","-0.57%"
"04/20/2026","75.14","75.69","75.69","74.77","0.26K","-1.74%"
"04/17/2026","76.47","74.00","76.48","74.00","5.43K","3.35%"
"04/16/2026","73.99","73.66","74.66","72.90","0.90K","1.15%"
"04/15/2026","73.15","73.72","74.17","73.19","1.03K","-0.96%"
"04/14/2026","73.86","71.51","73.82","71.44","0.48K","3.16%"
"04/13/2026","71.60","71.09","71.76","70.98","1.70K","-0.33%"
"04/10/2026","71.84","72.60","72.60","71.60","6.31K","-1.22%"
"04/09/2026","72.73","71.04","72.77","70.40","0.24K","2.84%"
"04/08/2026","70.72","72.12","72.12","70.54","0.29K","0.34%"
"04/07/2026","70.48","70.45","70.93","70.23","0.07K","-0.27%"
"04/02/2026","70.67","72.59","72.83","70.28","0.71K","-3.98%"
"04/01/2026","73.60","72.41","73.66","72.13","3.51K","2.98%"
"03/31/2026","71.47","71.61","71.80","71.26","0.51K","0.48%"
"03/30/2026","71.13","70.11","71.90","70.11","0.48K","0.71%"
"03/27/2026","70.63","70.27","71.03","70.08","0.80K","0.01%"
"03/26/2026","70.62","69.80","71.60","69.68","1.46K","1.26%"
"03/25/2026","69.74","71.13","71.68","67.60","0.54K","-0.67%"
"03/24/2026","70.21","67.90","70.16","67.72","1.04K","2.78%"
