date,co2_emissions_t
2021-01-01,41588.17
2021-02-01,37563.51
2021-03-01,41588.17
2021-04-01,40246.62
2021-05-01,41588.17
2021-06-01,40246.62
2021-07-01,41588.17
2021-08-01,41588.17
2021-09-01,40246.62
2021-10-01,41588.17
2021-11-01,40246.62
2021-12-01,41588.17
2022-01-01,22269.77
2022-02-01,32501.6
2022-03-01,36287.6
2022-04-01,34165.45
2022-05-01,35808.33
2022-06-01,37219.63
2022-07-01,15273.72
2022-08-01,15951.22
2022-09-01,34661.67
2022-10-01,16301.78
2022-11-01,38276.35
2022-12-01,35553.15
2023-01-01,22186.75
2023-02-01,36517.82
2023-03-01,35409.68
2023-04-01,14549.25
2023-05-01,38866.38
2023-06-01,34239.73
2023-07-01,35384.89
2023-08-01,1223.35
2023-09-01,40237.05
2023-10-01,1919.46
2023-11-01,21491.26
2023-12-01,35191.2
2024-01-01,35242.76
2024-02-01,33045.71
2024-03-01,1283.41
2024-04-01,37061.66
2024-05-01,35660.27
2024-06-01,34686.72
2024-07-01,39428.86
2024-08-01,40863.89
2024-09-01,34727.19
2024-10-01,35150.01
2024-11-01,1206.06
2024-12-01,35360.91
2025-01-01,1839.87
2025-02-01,31921.55
2025-03-01,40210.29
2025-04-01,27467.73
2025-05-01,28383.32
2025-06-01,34551.35
2025-07-01,40573.59
2025-08-01,22148.81
2025-09-01,1150.17
2025-10-01,38586.76
2025-11-01,21482.67
2025-12-01,35562.84
2026-01-01,22302.42
