date,co2_emissions_t
2021-01-01,9389.94
2021-02-01,9599.28
2021-03-01,9575.83
2021-04-01,9160.54
2021-05-01,8819.37
2021-06-01,8677.63
2021-07-01,8289.15
2021-08-01,7890.56
2021-09-01,8254.65
2021-10-01,8857.86
2021-11-01,9137.62
2021-12-01,9347.57
2022-01-01,9389.94
2022-02-01,9599.28
2022-03-01,9575.83
2022-04-01,9160.54
2022-05-01,8819.37
2022-06-01,8677.63
2022-07-01,8289.15
2022-08-01,7890.56
2022-09-01,8254.65
2022-10-01,8857.86
2022-11-01,9137.62
2022-12-01,9347.57
2023-01-01,9389.94
2023-02-01,9599.28
2023-03-01,9575.83
2023-04-01,9160.54
2023-05-01,8819.37
2023-06-01,8677.63
2023-07-01,8289.15
2023-08-01,7890.56
2023-09-01,8254.65
2023-10-01,8857.86
2023-11-01,9137.62
2023-12-01,9347.57
2024-01-01,9389.94
2024-02-01,9599.28
2024-03-01,9575.83
2024-04-01,9160.54
2024-05-01,8819.37
2024-06-01,8677.63
2024-07-01,8289.15
2024-08-01,7890.56
2024-09-01,8254.65
2024-10-01,8857.86
2024-11-01,9137.62
2024-12-01,9347.57
2025-01-01,9389.94
2025-02-01,9599.28
2025-03-01,9575.83
2025-04-01,9160.54
2025-05-01,8819.37
2025-06-01,8677.63
2025-07-01,8289.15
2025-08-01,7890.56
2025-09-01,8254.65
2025-10-01,8857.86
2025-11-01,9137.62
2025-12-01,9347.57
2026-01-01,9389.94
