date,co2_emissions_t
2021-01-01,2027.64
2021-02-01,2093.36
2021-03-01,2142.94
2021-04-01,2104.16
2021-05-01,2041.83
2021-06-01,2056.18
2021-07-01,1960.69
2021-08-01,1840.63
2021-09-01,1945.0
2021-10-01,2060.18
2021-11-01,2045.31
2021-12-01,2042.28
2022-01-01,1917.0
2022-02-01,1979.14
2022-03-01,2026.01
2022-04-01,1989.35
2022-05-01,1930.42
2022-06-01,1943.98
2022-07-01,1853.7
2022-08-01,1740.2
2022-09-01,1838.87
2022-10-01,1947.76
2022-11-01,1933.71
2022-12-01,1930.84
2023-01-01,1859.39
2023-02-01,1919.65
2023-03-01,1965.11
2023-04-01,1929.55
2023-05-01,1872.39
2023-06-01,1885.55
2023-07-01,1797.99
2023-08-01,1687.89
2023-09-01,1783.6
2023-10-01,1889.22
2023-11-01,1875.59
2023-12-01,1872.81
2024-01-01,1859.39
2024-02-01,1919.65
2024-03-01,1965.11
2024-04-01,1929.55
2024-05-01,1872.39
2024-06-01,1885.55
2024-07-01,1797.99
2024-08-01,1687.89
2024-09-01,1783.6
2024-10-01,1889.22
2024-11-01,1875.59
2024-12-01,1872.81
2025-01-01,1859.39
2025-02-01,1919.65
2025-03-01,1965.11
2025-04-01,1929.55
2025-05-01,1872.39
2025-06-01,1885.55
2025-07-01,1797.99
2025-08-01,1687.89
2025-09-01,1783.6
2025-10-01,1889.22
2025-11-01,1875.59
2025-12-01,1872.81
2026-01-01,1859.39
