date,co2_emissions_kt
2015-01-01,2991.58
2015-02-01,2995.39
2015-03-01,3425.43
2015-04-01,3771.7
2015-05-01,3708.79
2015-06-01,3839.09
2015-07-01,3905.72
2015-08-01,3752.47
2015-09-01,3670.07
2015-10-01,3344.27
2015-11-01,3232.57
2015-12-01,3002.48
2016-01-01,2917.22
2016-02-01,3101.79
2016-03-01,3336.85
2016-04-01,3537.2
2016-05-01,3859.96
2016-06-01,3799.37
2016-07-01,3903.0
2016-08-01,3705.69
2016-09-01,3585.04
2016-10-01,3294.99
2016-11-01,3197.62
2016-12-01,2877.95
2017-01-01,2853.25
2017-02-01,2961.18
2017-03-01,3309.74
2017-04-01,3612.46
2017-05-01,3826.65
2017-06-01,3896.42
2017-07-01,3984.54
2017-08-01,3636.97
2017-09-01,3521.04
2017-10-01,3251.98
2017-11-01,3119.98
2017-12-01,2941.82
2018-01-01,2819.53
2018-02-01,2867.38
2018-03-01,3136.23
2018-04-01,3566.65
2018-05-01,3782.3
2018-06-01,3830.63
2018-07-01,3646.2
2018-08-01,3623.16
2018-09-01,3506.98
2018-10-01,3272.21
2018-11-01,3078.04
2018-12-01,2820.64
2019-01-01,2818.07
2019-02-01,2875.17
2019-03-01,3160.87
2019-04-01,3493.66
2019-05-01,3506.47
2019-06-01,3674.12
2019-07-01,3591.0
2019-08-01,3473.83
2019-09-01,3403.27
2019-10-01,3308.53
2019-11-01,2888.26
2019-12-01,2815.41
2020-01-01,2370.05
2020-02-01,2541.33
2020-03-01,2813.35
2020-04-01,2254.5
2020-05-01,2292.5
2020-06-01,2297.47
2020-07-01,2887.06
2020-08-01,2641.04
2020-09-01,2700.41
2020-10-01,2896.77
2020-11-01,2607.71
2020-12-01,2464.07
2021-01-01,2642.06
2021-02-01,2673.75
2021-03-01,2979.7
2021-04-01,3175.37
2021-05-01,3385.23
2021-06-01,3443.78
2021-07-01,3309.27
2021-08-01,3354.42
2021-09-01,3179.28
2021-10-01,2995.0
2021-11-01,2804.73
2021-12-01,2609.38
2022-01-01,2551.23
2022-02-01,2593.0
2022-03-01,2811.91
2022-04-01,3108.53
2022-05-01,3156.54
2022-06-01,3232.79
2022-07-01,2951.92
2022-08-01,2944.75
2022-09-01,2853.18
2022-10-01,2613.57
2022-11-01,2611.12
2022-12-01,2476.62
2023-01-01,2346.37
2023-02-01,2468.47
2023-03-01,2779.08
2023-04-01,2854.31
2023-05-01,3190.59
2023-06-01,3231.51
2023-07-01,3104.89
2023-08-01,2951.23
2023-09-01,2977.62
2023-10-01,2729.64
2023-11-01,2575.45
2023-12-01,2385.52
2024-01-01,2426.17
2024-02-01,2401.89
2024-03-01,2574.24
2024-04-01,2908.37
2024-05-01,3080.32
2024-06-01,3223.88
2024-07-01,3122.87
2024-08-01,2998.38
2024-09-01,2990.38
2024-10-01,2605.1
2024-11-01,2445.49
2024-12-01,2260.49
2025-01-01,2240.02
2025-02-01,2262.48
2025-03-01,2602.46
2025-04-01,2792.06
2025-05-01,2861.41
2025-06-01,2946.68
2025-07-01,2989.56
2025-08-01,2942.19
2025-09-01,2937.06
2025-10-01,2793.19
2025-11-01,2434.9
2025-12-01,2188.46
2026-01-01,2074.58
2026-02-01,2285.09
2026-03-01,2431.29
2026-04-01,2691.67
2026-05-01,2833.77
